ticker,name,isin,cnpj,segment,type,price,nav,dy,dy_months,dy_avg_month_6m,pvp,liquidity,pl,vacancy,properties,shareholders,shares,admin_fee,growth_12m,growth_pl_12m,growth_shareholders_12m,change_30d,high_252d,low_252d,report_date,price_date,price_stale_days,dividend_source,score,classification,flags,score_valuation,score_income,score_liquidity,score_size,score_operational,score_growth
TRXF11,TRX REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,BRTRXFCTF003,28548288000152,Multicategoria,Híbrido,73.13,97.0658526188902,12.4746,12,1.0338833333333335,0.7534060437003569,42682821.40133335,6059889222.16,,6.0,343736.0,62430701.0,0.0008309960191326,82.0674610325402,84.35291825746933,79.78200380761105,-6.650497829971924,101.7,68.86,2026-07-01,2026-09-17,0,CVM Informe Mensal — Percentual_Dividend_Yield_Mes,89.3,Ancoragem,,100.0,83.1,100.0,87.2,55.0,100.0
KNCR11,KINEA RENDIMENTOS IMOBILIARIOS FII RESPONSABILIDADE LIMITADA,BRKNCRCTF000,16706958000132,Multicategoria,Híbrido,105.95,102.518709279411,13.9062,12,1.0908666666666667,1.0334698977845804,21775218.307,10978689824.66,,,578802.0,107089622.0,0.000958,38.62383602573985,40.84232237846961,36.40534967301008,-0.23540489642184248,109.19,103.44,2026-07-01,2026-09-17,0,CVM Informe Mensal — Percentual_Dividend_Yield_Mes,88.4,Ancoragem,,72.5,99.0,100.0,100.0,55.0,100.0
MXRF11,FII MAXI RENDA RL,BRMXRFCTF008,97521225000125,Logística,Tijolo,9.07,9.262499,12.3217,12,1.0257833333333333,0.9792173796725916,18218631.47633333,5253747540.01,,,1509087.0,567206273.0,0.00064,20.822996250555757,27.476473021918444,14.16951947919307,-1.9459459459459483,10.0,9.06,2026-07-01,2026-09-17,0,CVM Informe Mensal — Percentual_Dividend_Yield_Mes,82.2,Crescimento,,80.6,81.4,100.0,83.5,55.0,100.0
KNHY11,KINEA HIGH YIELD CRI FII RESPONSABILIDADE LIMITADA,BRKNHYCTF005,30130708000128,Multicategoria,Híbrido,94.03,98.1592961440484,13.2227,12,1.1553166666666665,0.957932704224074,5161195.765333334,3059927885.92,,,30050.0,31173083.0,0.001465,13.617126476821229,10.743324127467858,16.4909288261746,-1.6936748562467407,102.0,93.0,2026-07-01,2026-09-17,0,CVM Informe Mensal — Percentual_Dividend_Yield_Mes,80.1,Crescimento,,83.8,91.4,83.1,69.7,55.0,78.7
CPTS11,CAPITANIA SEC II FII,BRCPTSCTF004,18979895000113,Outros,Outros,7.39,8.555289,11.999600000000001,12,0.9929666666666668,0.8637931459708724,6414167.891666668,3109874534.43,,,398167.0,363503147.0,0.00068,9.271143402546434,6.720553621167102,11.821733183925765,0.6811989100817373,8.2,7.18,2026-07-01,2026-09-17,0,CVM Informe Mensal — Percentual_Dividend_Yield_Mes,79.7,Oportunidade,,97.9,77.8,88.6,70.1,55.0,64.2
XPLG11,XP LOG FII RL,BRXPLGCTF002,26502794000185,Logística,Tijolo,92.0,104.894020621748,9.274016,12,0.7727499999999999,0.877075732769894,7432103.029000001,5390513988.23,,,370912.0,51390097.8938388,0.000713,35.771522568783666,61.847957449400056,9.69508768816727,3.452153379062173,106.76,88.1,2026-07-01,2026-09-17,0,CVM Informe Mensal — Percentual_Dividend_Yield_Mes,78.2,Crescimento,,95.9,47.5,92.4,84.2,55.0,100.0
KNHF11,KINEA HEDGE FUND FII RESPONSABILIDADE LIMITADA,BRKNHFCTF004,42754342000147,Multicategoria,Híbrido,92.6,98.8640520021248,11.9712,12,0.9931000000000001,0.9366397403781288,5019540.468,1943987087.57,,1.0,71399.0,19663235.0,0.001053,28.130669795201843,-0.09596594568602734,56.35730553608971,3.9865244244806197,100.33,87.51,2026-07-01,2026-09-17,0,CVM Informe Mensal — Percentual_Dividend_Yield_Mes,77.7,Crescimento,,87.0,77.5,82.4,58.1,55.0,100.0
CVBI11,PATRIA CREDITO IMOBILIARIO INDICE DE PRECOS FII RESP LTDA,BRCVBICTF001,28729197000113,Outros,Outros,82.78,92.4533578752561,11.669,12,0.9865333333333334,0.8953703997608393,4479743.032666667,1572789435.34,,,113625.0,17011707.0,0.0007610958359096,44.611385164082066,54.2313242415795,34.991446086584624,-2.1744268494445773,88.8,74.6,2026-07-01,2025-09-23,359,CVM Informe Mensal — Percentual_Dividend_Yield_Mes,77.2,Crescimento,preco_defasado,93.2,74.1,79.5,52.7,55.0,100.0
BTLG11,BTGP LOGISTICA FII,BRBTLGCTF000,11839593000109,Multicategoria,Híbrido,99.78,106.86346,8.6517,12,0.7529833333333333,0.9337148544507168,18120361.775666665,7580921710.93,,,515243.0,70940261.0,0.000707,47.18395636898511,64.35453903118243,30.01337370678778,2.128966223132034,105.0,96.75,2026-07-01,2026-09-17,0,CVM Informe Mensal — Percentual_Dividend_Yield_Mes,76.4,Crescimento,,87.4,40.6,100.0,92.9,55.0,100.0
HGLG11,PÁTRIA LOG - FUNDO DE INVESTIMENTO IMOBILIÁRIO,BRHGLGCTF004,11728688000147,Multicategoria,Híbrido,147.98,166.431221117306,7.943899999999999,12,0.6663333333333333,0.8891360587668764,19697580.573000003,7589554105.43,,,608345.0,45601745.0,0.000489,28.92872099450112,38.226239885631074,19.63120210337117,1.9778099372889324,163.3,143.39,2026-07-01,2026-09-17,0,CVM Informe Mensal — Percentual_Dividend_Yield_Mes,76.2,Crescimento,,94.1,32.7,100.0,92.9,55.0,100.0
KNIP11,KINEA INDICES DE PREÇOS FII RESPONSABILIDADE LIMITADA,BRKNIPCTF001,24960430000113,Multicategoria,Híbrido,89.2,92.8536477567062,10.9552,12,1.0918666666666668,0.9606515431006067,8593366.196333336,7435551675.84,,,73168.0,80078186.0,0.000913,1.4839926477243304,2.232792410573814,0.7351928848748468,-0.11198208286673506,95.14,84.7,2026-07-01,2026-09-17,0,CVM Informe Mensal — Percentual_Dividend_Yield_Mes,75.0,Oportunidade,,83.4,66.2,96.1,92.4,55.0,38.3
KNSC11,KINEA SECURITIES FII RESPONSABILIDADE LIMITADA,BRKNSCCTF008,35864448000138,Multicategoria,Híbrido,9.06,8.73357214075393,13.1067,12,1.1392833333333334,1.0373762137628477,5107191.776,1765949116.43,,,268171.0,202202385.0,0.001146,10.30771476666239,0.004031827977635238,20.611397705347144,1.3422818791946511,9.34,8.49,2026-07-01,2026-09-17,0,CVM Informe Mensal — Percentual_Dividend_Yield_Mes,73.5,Oportunidade,,71.9,90.1,82.8,55.7,55.0,67.7
RECR11,FII REC RECEBIVEIS IMOBILIARIOS,BRRECRCTF004,28152272000126,Multicategoria,Híbrido,75.3,86.9740534902323,12.2848,12,1.1500833333333333,0.8657754465641484,3010289.911,2299737481.47,,,174052.0,26441650.0,0.0001695779858102,-0.004336933749932159,-1.3897236050945838,1.3810497375947195,-0.14586924811033075,84.2,73.18,2026-07-01,2026-09-17,0,CVM Informe Mensal — Percentual_Dividend_Yield_Mes,73.2,Oportunidade,,97.6,80.9,69.3,62.4,55.0,33.3
RZTR11,FUNDO DE INVESTIMENTO IMOBILIÁRIO RIZA TERRAX,BRRZTRCTF003,36501128000186,Outros,Outros,83.86,97.6144278559198,12.3104,12,1.0204166666666665,0.8590943146619522,2943691.5546666663,1840199861.9,,,145325.0,18851720.0,0.0009533022289158,0.5890448229027401,0.9463479274682163,0.23174171833726387,1.4026602176541614,99.04,80.0,2026-07-01,2026-09-17,0,CVM Informe Mensal — Percentual_Dividend_Yield_Mes,72.8,Oportunidade,,98.6,81.2,68.7,56.7,55.0,35.3
HGBS11,HEDGE BRASIL SHOPPING FUNDO DE INVESTIMENTO IMOBILIÁRIO,BRHGBSCTF000,08431747000106,Shoppings,Tijolo,18.52,20.2460012261654,9.2387,12,0.8264166666666667,0.9147485369143037,4695704.925,2922626205.6,,1.0,198399.0,144355726.0,0.000521,27.70033214679296,4.934246383138152,50.46641791044777,-0.43010752688172893,21.05,18.01,2026-07-01,2026-09-17,0,CVM Informe Mensal — Percentual_Dividend_Yield_Mes,72.6,Oportunidade,,90.3,47.1,80.7,68.6,55.0,100.0
GARE11,FII GUARDIAL LOGISTICA,BRGARECTF001,37295919000160,Multicategoria,Híbrido,8.42,9.1077636,8.869239,12,0.8848273333333333,0.9244860066416304,6745569.615666667,2633841713.74,,,547102.0,289186438.0,0.000724,69.42372473677669,98.63750693097289,40.2099425425805,3.6945812807881895,9.24,8.07,2026-07-01,2026-09-17,0,CVM Informe Mensal — Percentual_Dividend_Yield_Mes,71.8,Oportunidade,,88.8,43.0,89.9,65.9,55.0,100.0
HGRU11,PÁTRIA RENDA URBANA - FUNDO DE INVESTIMENTO IMOBILIÁRIO,BRHGRUCTF002,29641226000153,Outros,Outros,113.8,128.199734359112,9.2559,12,0.7367833333333333,0.887677346360363,8739161.711,3183738355.82,,1.0,231215.0,24834204.0,0.0006087821590165,5.955597852863792,7.484174708767144,4.42702099696044,-0.7846556233653046,133.8,112.73,2026-07-01,2026-09-17,0,CVM Informe Mensal — Percentual_Dividend_Yield_Mes,71.3,Oportunidade,,94.3,47.3,96.6,70.7,55.0,53.2
HGRE11,PÁTRIA ESCRITÓRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO,BRHGRECTF006,09072017000129,Escritórios,Papel,115.99,146.638605895682,12.817699999999999,12,0.6501833333333333,0.7909922444469687,2289827.424333333,1732940877.68,,1.0,144538.0,11817767.0,0.000761,-1.928720222380992,-5.87466235328823,2.0172219085262455,1.1511293276358137,132.0,112.18,2026-07-01,2026-09-17,0,CVM Informe Mensal — Percentual_Dividend_Yield_Mes,71.2,Oportunidade,,100.0,86.9,62.3,55.2,70.0,26.9
